Seconds,Volts
0, 0
6.009475E-08, 0.01737575
1.201895E-07, 0.03473746
1.802842E-07, 0.05207109
2.40379E-07, 0.06936263
3.004737E-07, 0.08659811
3.605685E-07, 0.1037636
4.206632E-07, 0.1208452
4.80758E-07, 0.1378292
5.408527E-07, 0.1547017
6.009475E-07, 0.1714492
6.610422E-07, 0.1880582
7.21137E-07, 0.2045151
7.812317E-07, 0.2208067
8.413265E-07, 0.2369199
9.014212E-07, 0.2528416
9.61516E-07, 0.2685589
1.021611E-06, 0.2840592
1.081705E-06, 0.2993298
1.1418E-06, 0.3143586
1.201895E-06, 0.3291332
1.26199E-06, 0.3436418
1.322084E-06, 0.3578727
1.382179E-06, 0.3718144
1.442274E-06, 0.3854555
1.502369E-06, 0.3987851
1.562463E-06, 0.4117923
1.622558E-06, 0.4244667
1.682653E-06, 0.4367981
1.742748E-06, 0.4487764
1.802842E-06, 0.4603919
1.862937E-06, 0.4716354
1.923032E-06, 0.4824977
1.983127E-06, 0.49297
2.043221E-06, 0.5030438
2.103316E-06, 0.512711
2.163411E-06, 0.521964
2.223506E-06, 0.5307949
2.2836E-06, 0.5391968
2.343695E-06, 0.547163
2.40379E-06, 0.554687
2.463885E-06, 0.5617626
2.523979E-06, 0.5683841
2.584074E-06, 0.5745462
2.644169E-06, 0.580244
2.704264E-06, 0.5854728
2.764358E-06, 0.5902284
2.824453E-06, 0.5945069
2.884548E-06, 0.5983049
2.944643E-06, 0.6016194
3.004737E-06, 0.6044475
3.064832E-06, 0.6067872
3.124927E-06, 0.6086364
3.185022E-06, 0.6099936
3.245116E-06, 0.6108579
3.305211E-06, 0.6112284
3.365306E-06, 0.6111049
3.425401E-06, 0.6104875
3.485495E-06, 0.6093766
3.54559E-06, 0.6077732
3.605685E-06, 0.6056786
3.66578E-06, 0.6030944
3.725874E-06, 0.6000228
3.785969E-06, 0.5964662
3.846064E-06, 0.5924276
3.906159E-06, 0.58791
3.966254E-06, 0.5829173
4.026348E-06, 0.5774535
4.086443E-06, 0.571523
4.146538E-06, 0.5651304
4.206632E-06, 0.5582812
4.266727E-06, 0.5509807
4.326822E-06, 0.5432349
4.386917E-06, 0.53505
4.447012E-06, 0.5264326
4.507106E-06, 0.5173898
4.567201E-06, 0.5079288
4.627296E-06, 0.4980572
4.68739E-06, 0.4877832
4.747485E-06, 0.4771148
4.80758E-06, 0.4660608
4.867675E-06, 0.4546301
4.92777E-06, 0.442832
